"Source:","C:/Program Files/KiCad/Projects/Atari SIO2SD Igi Version 11-2016.sch"
"Date:","26/11/2017 12:40:37"
"Tool:","Eeschema 4.0.7"
"Generator:","C:/Program Files/KiCad/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","48"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, ","2","22pF","C_1206","Kondenzátory_SMD:C_1206","Nepolarizovaný kondenzátor 1206",""
"C9, C8, C7, C6, C5, C4, ","6","22nF","C_1206","Kondenzátory_SMD:C_1206","Nepolarizovaný kondenzátor 1206",""
"C11, C13, C12, ","3","10uF","C_Tantal_A/3216","Kondenzátory_tantalové_SMD:CP_Tantalum_Case-A_EIA-3216-18_Reflow","Kondenzátor tantalový A/3216",""
"C14, C3, C10, ","3","100nF","C_1206","Kondenzátory_SMD:C_1206","Nepolarizovaný kondenzátor 1206",""
"D1, ","1","LED_Zelená","LED_5mm_Zelená","Diody_LED_THT:LED_D5.0mm","LED 5mm Zelená",""
"D2, ","1","LED_Žlutá","LED_5mm_Žlutá","Diody_LED_THT:LED_D5.0mm","LED 5mm Žlutá",""
"D3, ","1","LED_Červená","LED_5mm_Červená","Diody_LED_THT:LED_D5.0mm","LED 5mm Červená",""
"D4, ","1","LL103A","LL103A","Diody_Schottky_SMD:D_MiniMELF","Urrm = 40V, If = 0,2A, Ufm = 0,37V, Ifsm = 15A",""
"K1, ","1","DRIVE","Mikrospínač_6x6x5mm","Vypínače, přepínače, tlačítka_THT:SW_PUSH_6mm_h5mm","Mikrospínač 6 x 6 x 5 mm, Omron",""
"K2, ","1","NEXT","Mikrospínač_6x6x5mm","Vypínače, přepínače, tlačítka_THT:SW_PUSH_6mm_h5mm","Mikrospínač 6 x 6 x 5 mm, Omron",""
"K3, ","1","CD..","Mikrospínač_6x6x5mm","Vypínače, přepínače, tlačítka_THT:SW_PUSH_6mm_h5mm","Mikrospínač 6 x 6 x 5 mm, Omron",""
"K4, ","1","ENTER","Mikrospínač_6x6x5mm","Vypínače, přepínače, tlačítka_THT:SW_PUSH_6mm_h5mm","Mikrospínač 6 x 6 x 5 mm, Omron",""
"K5, ","1","SHIFT","Mikrospínač_6x6x5mm","Vypínače, přepínače, tlačítka_THT:SW_PUSH_6mm_h5mm","Mikrospínač 6 x 6 x 5 mm, Omron",""
"K6, ","1","RESET","Mikrospínač_6x6x5mm","Vypínače, přepínače, tlačítka_THT:SW_PUSH_6mm_h5mm","Mikrospínač 6 x 6 x 5 mm, Omron",""
"K7, ","1","KF2510-5_Angled_Pitch2.54mm","KF2510-5_Angled_Pitch2.54mm","Konektory_THT:KF2510-5_Angled_Pitch2.54mm","Konektor KF2510 (PSH02), angled, 5 pinů, 2.54mm",""
"K8, ","1","SD_Card","SD_Card","Konektory_SMD:SD_Card_Wurth_693061010911","SD Card Reader",""
"LCD1, ","1","Display_16x2","Display_16x2","Displeje:LCD_16x2","LCD 16x2",""
"P1, ","1","5k","3362P","Trimry_odporové_THT:3362P","Trimr odporový, 3362P",""
"R1, R3, R13, ","3","10k","R_1206","Rezistory_SMD:R_1206","Rezistor 1206",""
"R2, ","1","27R","R_1206","Rezistory_SMD:R_1206","Rezistor 1206",""
"R4, R6, R5, ","3","220R","R_1206","Rezistory_SMD:R_1206","Rezistor 1206",""
"R9, R8, R7, ","3","1k8","R_1206","Rezistory_SMD:R_1206","Rezistor 1206",""
"R11, R12, R10, ","3","3k3","R_1206","Rezistory_SMD:R_1206","Rezistor 1206",""
"U1, ","1","ATMEGA32A-AU","ATMEGA32A-AU","Housings_QFP:TQFP-44_10x10mm_Pitch0.8mm","TQFP44, 32k Flash, 2k SRAM, 1k EEPROM, JTAG",""
"U2, ","1","HT7533-1","HT7533-1","Stabilizátory_SMD:SOT-89R-3","Stabilizátor napětí 3,3V / 0,1A, max. vstupní napětí 26V, úbytek napětí 0,1V",""
"WP1, ","1","MOSI","Wire_Pad","Wire_Pads_SMD:Wire_Pad_1.27x2.54mm","",""
"WP2, ","1","MISO","Wire_Pad","Wire_Pads_SMD:Wire_Pad_1.27x2.54mm","",""
"WP3, ","1","SCK","Wire_Pad","Wire_Pads_SMD:Wire_Pad_1.27x2.54mm","",""
"WP4, ","1","RST","Wire_Pad","Wire_Pads_SMD:Wire_Pad_1.27x2.54mm","",""
"Y1, ","1","14.318MHz","Krystal_HC49-U_Vertical","Krystaly_THT:Crystal_HC49-U_Vertical","Krystal, HC49-U Vertical",""
